Hardware VendorTest Sponsor,SystemEnclosure (if applicable),Nodes,JVM Vendor,CPU Description,MHz,Chips,Cores,TotalThreads,TotalMemory (GB),ssj_ops @ 100%,avg. watts@ 100%,avg. watts@ active idle,Result(Overall ssj_ops/watt)
Dell Inc.,"PowerEdge 2970 (AMD Opteron 2356 2.30 GHz)

 Jan  2 2009 | 
    HTML | 
    Text",1,Oracle Inc.,AMD Opteron 2356,2300,2,8,8,16,247542,302,139,545
Dell Inc.,"PowerEdge 2970 (AMD Opteron 2382 2.60 GHz)

 Jan  2 2009 | 
    HTML | 
    Text",1,Oracle Inc.,AMD Opteron 2382,2600,2,8,8,16,331257,258,127,851
Dell Inc.,"PowerEdge R610 (Intel Xeon X5570 2.93 GHz)

 May 20 2009 | 
    HTML | 
    Text",1,Oracle Corporation,Intel Xeon X5570,2933,2,8,16,12,550081,236,63.2,1844
Dell Inc.,"PowerEdge R710 (Intel Xeon X5570 2.93 GHz)

 Jun  3 2009 | 
    HTML | 
    Text",1,Oracle Corporation,Intel Xeon X5570,2933,2,8,16,8,540907,220,65,1860
Dell Inc.,"PowerEdge R610 (Intel Xeon L5530 2.40 GHz)

 Sep  9 2009 | 
    HTML | 
    Text",1,Oracle Corporation,Intel Xeon L5530,2400,2,8,16,8,468471,172,60,1930


Dell Inc.,"PowerEdge R710 (Intel Xeon L5530 2.40 GHz)

 Oct 21 2009 | 
    HTML | 
    Text",1,Oracle Corporation,Intel Xeon L5530,2400,2,8,16,8,470740,172,62.8,1918
Dell Inc.,"PowerEdge R610 (Intel Xeon X5670 2.93 GHz)

 May 19 2010 | 
    HTML | 
    Text",1,IBM Corporation,Intel Xeon X5670,2933,2,12,24,12,914076,244,62.3,2938
Dell Inc.,"PowerEdge R710 (Intel Xeon X5670 2.93 GHz)

 May 19 2010 | 
    HTML | 
    Text",1,IBM Corporation,Intel Xeon X5670,2933,2,12,24,12,910681,236,64.6,2963
Dell Inc.,"PowerEdge R815 (AMD Opteron 6174 2.20 GHz)

 Jun 30 2010 | 
    HTML | 
    Text",1,IBM Corporation,AMD Opteron 6174,2200,2,24,24,16,926676,279,100,2357
Dell Inc.,"PowerEdge R815 (AMD Opteron 6174 2.20 GHz)

 Jun 30 2010 | 
    HTML | 
    Text",1,IBM Corporation,AMD Opteron 6174,2200,4,48,48,32,1840454,509,142,2696
Dell Inc.,"PowerEdge R610 (Intel Xeon X5670 2.93 GHz)

 Aug 11 2010 | 
    HTML | 
    Text",1,IBM Corporation,Intel Xeon X5670,2933,2,12,24,12,913806,242,61.9,3004
Dell Inc.,"PowerEdge R710 (Intel Xeon X5670 2.93 GHz)

 Aug 11 2010 | 
    HTML | 
    Text",1,IBM Corporation,Intel Xeon X5670,2933,2,12,24,12,910978,232,64,3034
Dell Inc.,"PowerEdge M610
Dell PowerEdge M1000E

 Sep  9 2010 | 
    HTML | 
    Text",16,IBM Corporation,Intel Xeon X5670,2933,32,192,384,192,14440896,3716,877,3094
