,Benchmark,Hardware Vendor,System,Result,avg. watts @ 100%,avg. watts @ active idle,Chips,# Cores Per Chip,# Threads Per Core,CPU Description,Processor MHz,Total Memory (GB),Total Threads
141,power_ssj2008,Dell Inc.,PowerEdge R510,2745.0,266.0,56.9,2,6,2,Intel Xeon X5670,2933,12,24
142,power_ssj2008,Dell Inc.,"PowerEdge R520 (Intel Xeon E5-2470, 2.30 GHz)",5504.0,264.0,47.9,2,8,2,Intel Xeon E5-2470,2300,24,32
143,power_ssj2008,Dell Inc.,"PowerEdge R610 (Intel Xeon L5530, 2.40 GHz)",1930.0,172.0,60.0,2,4,2,Intel Xeon L5530,2400,8,16
144,power_ssj2008,Dell Inc.,"PowerEdge R610 (Intel Xeon X5570, 2.93 GHz)",1844.0,236.0,63.2,2,4,2,Intel Xeon X5570,2933,12,16
145,power_ssj2008,Dell Inc.,"PowerEdge R610 (Intel Xeon X5670, 2.93 GHz)",3004.0,242.0,61.9,2,6,2,Intel Xeon X5670,2933,12,24
146,power_ssj2008,Dell Inc.,"PowerEdge R610 (Intel Xeon X5670, 2.93 GHz)",2938.0,244.0,62.3,2,6,2,Intel Xeon X5670,2933,12,24
148,power_ssj2008,Dell Inc.,"PowerEdge R620 (Intel Xeon E5-2660, 2.2 GHz)",4577.0,263.0,56.1,2,8,2,Intel Xeon E5-2660,2200,24,32
149,power_ssj2008,Dell Inc.,"PowerEdge R620 (Intel Xeon E5-2660, 2.2 GHz)",4525.0,258.0,56.1,2,8,2,Intel Xeon E5-2660,2200,24,32
150,power_ssj2008,Dell Inc.,"PowerEdge R620 (Intel Xeon E5-2660, 2.20 GHz)",5244.0,248.0,54.9,2,8,2,Intel Xeon E5-2660,2200,24,32
152,power_ssj2008,Dell Inc.,"PowerEdge R620 (Intel Xeon E5-2670, 2.6 GHz)",4446.0,243.0,54.1,2,8,2,Intel Xeon E5-2670,2600,24,32
153,power_ssj2008,Dell Inc.,PowerEdge R630 (Intel Xeon E5-2699 v3 2.30 GHz),9749.0,287.0,51.2,2,18,2,Intel Xeon E5-2699 v3,2300,64,72
154,power_ssj2008,Dell Inc.,PowerEdge R630 (Intel Xeon E5-2699 v4 2.20 GHz),11157.0,279.0,46.7,2,22,2,Intel Xeon E5-2699 v4,2200,128,88
155,power_ssj2008,Dell Inc.,PowerEdge R640,11542.0,469.0,55.0,2,28,2,Intel Xeon Platinum 8180,2500,192,112
156,power_ssj2008,Dell Inc.,"PowerEdge R6515 (AMD EPYC 7702P, 2.00 GHz)",18463.0,231.0,54.5,1,64,2,AMD EPYC 7702P,2000,64,128
157,power_ssj2008,Dell Inc.,"PowerEdge R6525 (AMD EPYC 7702, 2.00 GHz)",20184.0,404.0,81.6,2,64,2,AMD EPYC 7702,2000,128,256
158,power_ssj2008,Dell Inc.,"PowerEdge R710 (Intel Xeon L5530, 2.40 GHz)",1918.0,172.0,62.8,2,4,2,Intel Xeon L5530,2400,8,16
159,power_ssj2008,Dell Inc.,"PowerEdge R710 (Intel Xeon X5570, 2.93 GHz)",1860.0,220.0,65.0,2,4,2,Intel Xeon X5570,2933,8,16
160,power_ssj2008,Dell Inc.,"PowerEdge R710 (Intel Xeon X5570, 2.93 GHz)",1746.0,237.0,75.6,2,4,2,Intel Xeon X5570,2933,12,16
161,power_ssj2008,Dell Inc.,"PowerEdge R710 (Intel Xeon X5670, 2.93 GHz)",3034.0,232.0,64.0,2,6,2,Intel Xeon X5670,2933,12,24
162,power_ssj2008,Dell Inc.,"PowerEdge R710 (Intel Xeon X5670, 2.93 GHz)",2963.0,236.0,64.6,2,6,2,Intel Xeon X5670,2933,12,24
164,power_ssj2008,Dell Inc.,"PowerEdge R720 (Intel Xeon E5-2660, 2.2 GHz)",4836.0,250.0,52.7,2,8,2,Intel Xeon E5-2660,2200,24,32
165,power_ssj2008,Dell Inc.,"PowerEdge R720 (Intel Xeon E5-2660, 2.20 GHz)",5506.0,231.0,52.3,2,8,2,Intel Xeon E5-2660,2200,24,32
166,power_ssj2008,Dell Inc.,"PowerEdge R720 (Intel Xeon E5-2660, 2.20 GHz)",5497.0,230.0,53.8,2,8,2,Intel Xeon E5-2660,2200,24,32
168,power_ssj2008,Dell Inc.,"PowerEdge R720 (Intel Xeon E5-2670, 2.6 GHz)",4658.0,231.0,51.0,2,8,2,Intel Xeon E5-2670,2600,24,32
169,power_ssj2008,Dell Inc.,PowerEdge R730 (Intel Xeon E5-2699 v3 2.30 GHz),10206.0,272.0,46.9,2,18,2,Intel Xeon E5-2699 v3,2300,64,72
170,power_ssj2008,Dell Inc.,PowerEdge R730 (Intel Xeon E5-2699 v4 2.20 GHz),11423.0,272.0,44.6,2,22,2,Intel Xeon E5-2699 v4,2200,128,88
171,power_ssj2008,Dell Inc.,PowerEdge R730 (Intel Xeon E5-2699 v4 2.20 GHz),10802.0,269.0,44.9,2,22,2,Intel Xeon E5-2699 v4,2200,128,88
172,power_ssj2008,Dell Inc.,PowerEdge R740,11790.0,457.0,52.3,2,28,2,Intel Xeon Platinum 8180,2500,192,112
173,power_ssj2008,Dell Inc.,"PowerEdge R740 (Intel Xeon Platinum 8280, 2.70 GHz)",12831.0,432.0,49.8,2,28,2,"Intel Xeon Platinum 8280,",2700,192,112
174,power_ssj2008,Dell Inc.,PowerEdge R7425 (AMD EPYC 7601 2.20 GHz),11867.0,268.0,77.5,2,32,2,AMD EPYC 7601 Dell SKU [338-BNCG],2200,128,128
175,power_ssj2008,Dell Inc.,PowerEdge R7425 (AMD EPYC 7601 2.20 GHz),11064.0,287.0,84.9,2,32,2,AMD EPYC 7601,2200,128,128
176,power_ssj2008,Dell Inc.,"PowerEdge R7515 (AMD EPYC 7742, 2.25 GHz)",16501.0,246.0,99.5,1,64,2,AMD EPYC 7742,2250,128,128
177,power_ssj2008,Dell Inc.,"PowerEdge R7525 (AMD EPYC 7702, 2.00 GHz)",20910.0,393.0,72.3,2,64,2,AMD EPYC 7702,2000,128,256
178,power_ssj2008,Dell Inc.,"PowerEdge R815 (AMD Opteron 6174, 2.20 GHz)",2357.0,279.0,100.0,2,12,1,AMD Opteron 6174,2200,16,24
179,power_ssj2008,Dell Inc.,"PowerEdge R815 (AMD Opteron 6174, 2.20 GHz)",2696.0,509.0,142.0,4,12,1,AMD Opteron 6174,2200,32,48
180,power_ssj2008,Dell Inc.,"PowerEdge R815 (AMD Opteron 6278, 2.40 GHz)",3028.0,593.0,118.0,4,16,1,AMD Opteron 6278,2400,64,64
